"","circ_id","mmu1","mmu2","mmu3"
"568","10:30466020|30467098",4,NA,NA
"569","10:31233867|31255326",NA,NA,1
"570","10:33884988|33888133",3,NA,9
"571","10:34459893|34467966",3,NA,NA
"572","10:38948710|38951523",NA,NA,2
"573","10:39510530|39515394",NA,2,NA
"574","10:39515215|39517390",NA,NA,3
"575","10:39618686|39675973",NA,NA,2
"576","10:39618686|39690086",NA,NA,1
"577","10:39680947|39690086",NA,NA,3
"578","10:39952559|39956803",NA,NA,2
"579","10:40127151|40130460",NA,NA,1
"580","10:40130259|40130460",5,2,NA
"581","10:40310299|40312208",2,NA,NA
"582","10:41130839|41134144",NA,NA,1
"583","10:41370514|41374546",NA,NA,1
"584","10:41370514|41383555",NA,NA,1
"585","10:41374357|41383555",NA,NA,1
"586","10:41616835|41621917",NA,NA,4
"587","10:41770037|41772201",NA,1,NA
"588","10:42072461|42073897",1,NA,NA
"589","10:42276336|42302583",NA,NA,2
"590","10:42330302|42330526",NA,NA,4
"591","10:42659437|42667287",9,2,12
"592","10:42665295|42667287",NA,NA,1
"593","10:42670770|42674851",1,NA,NA
"594","10:42674742|42682667",NA,NA,3
"595","10:42783712|42811143",NA,NA,2
"596","10:43269866|43271688",2,4,3
"597","10:43269866|43289543",NA,NA,4
"598","10:4363308|4377691",NA,NA,2
"599","10:43804318|43812087",NA,NA,1
"600","10:43840573|43842409",5,1,NA
"601","10:43862246|43875343",NA,NA,3
"602","10:45464475|45494725",1,NA,2
"603","10:45524686|45528834",NA,NA,3
"604","10:50493807|50494367",2,NA,NA
"605","10:50514003|50536822",NA,NA,1
"606","10:50592580|50596806",6,NA,NA
"607","10:50624901|50630218",1,NA,NA
"608","10:50624901|50643603",8,2,26
"609","10:50643186|50643603",NA,NA,1
"610","10:52160198|52167019",1,2,9
"611","10:52215213|52215892",1,NA,NA
"612","10:53487447|53492148",8,NA,NA
"613","10:55903994|55916375",NA,NA,3
"614","10:58122963|58130727",NA,NA,1
"615","10:58128386|58130727",1,NA,NA
"616","10:58130532|58132061",NA,NA,1
"617","10:58248224|58252504",NA,2,NA
"618","10:58299904|58300350",NA,NA,2
"619","10:58302936|58303295",NA,1,NA
"620","10:58320263|58321703",NA,1,NA
"621","10:58324394|58326577",NA,NA,2
"622","10:59197682|59203176",NA,2,NA
"623","10:59877942|59900230",NA,NA,3
"624","10:60559542|60566431",7,NA,NA
"625","10:60941200|60948069",NA,NA,2
"626","10:61174977|61179535",NA,1,NA
"627","10:61362838|61383994",2,NA,7
"628","10:61496690|61501245",NA,2,1
"629","10:62110225|62122431",NA,NA,1
"630","10:62273212|62277025",9,NA,22
"631","10:62276913|62283552",NA,NA,1
"632","10:62304068|62316486",4,NA,NA
"633","10:62582679|62583243",2,NA,NA
"634","10:62582679|62586795",NA,NA,1
"635","10:62586325|62586795",2,NA,7
"636","10:62595872|62596058",1,NA,NA
"637","10:62595872|62602561",NA,2,NA
"638","10:62606633|62607844",NA,7,21
"639","10:62612346|62612742",1,3,12
"640","10:62851580|62851954",NA,1,NA
"641","10:62851580|62855306",NA,2,NA
"642","10:62851858|62853389",1,NA,NA
"643","10:63118959|63126455",NA,NA,3
"644","10:63121795|63123788",NA,NA,3
"645","10:63126282|63135018",4,1,NA
"646","10:63134898|63143688",NA,NA,1
"647","10:63167523|63171656",2,NA,1
